Date,Open,High,Low,Close/Last,close-1,close-2,close-3,close-4,close-5,5MA,13MA,20MA,26MA,50MA,trend
4/18/2016,2078.83,2094.66,2073.65,2094.34,2080.73,2082.78,2082.42,2061.72,2047.6,2080.398,2064.920769,2058.267143,2051.891538,1993.704,1
4/15/2016,2083.1,2083.22,2076.31,2080.73,2082.78,2082.42,2061.72,2041.99,2041.91,2069.928,2062.583077,2055.707619,2047.861923,1990.1262,1
4/14/2016,2082.89,2087.84,2078.13,2082.78,2082.42,2061.72,2041.99,2047.6,2066.66,2063.302,2060.604615,2053.159524,2044.343846,1986.7622,-1
4/13/2016,2065.92,2083.18,2065.92,2082.42,2061.72,2041.99,2047.6,2041.91,2045.17,2055.128,2057.086923,2049.97619,2040.362308,1983.1672,1
4/12/2016,2043.72,2065.05,2039.74,2061.72,2041.99,2047.6,2041.91,2066.66,2066.13,2051.976,2053.511538,2046.986667,2037.26,1980.3064,1
4/11/2016,2050.23,2062.93,2041.88,2041.99,2047.6,2041.91,2066.66,2045.17,2072.78,2048.666,2051.587692,2045.104286,2034.885769,1977.8768,1
4/8/2016,2045.54,2060.63,2041.69,2047.6,2041.91,2066.66,2045.17,2066.13,2059.74,2053.494,2052.188462,2042.608095,2033.016923,1974.9042,-1
4/7/2016,2063.01,2063.01,2033.8,2041.91,2066.66,2045.17,2066.13,2072.78,2063.95,2058.53,2052.496154,2039.83,2030.665,1971.6112,1
4/6/2016,2045.56,2067.33,2043.09,2066.66,2045.17,2066.13,2072.78,2059.74,2055.01,2062.096,2053.086154,2036.846667,2028.220385,1968.8456,-1
4/5/2016,2062.5,2062.5,2042.56,2045.17,2066.13,2072.78,2059.74,2063.95,2037.05,2061.554,2051.080769,2033.75619,2023.05,1965.054,1
4/4/2016,2073.19,2074.02,2062.57,2066.13,2072.78,2059.74,2063.95,2055.01,2035.94,2063.522,2049.7,2031.604762,2019.314615,1962.2886,-1
4/1/2016,2056.62,2075.07,2043.98,2072.78,2059.74,2063.95,2055.01,2037.05,2036.71,2057.706,2045.838462,2028.141429,2014.913462,1958.3458,-1
3/31/2016,2063.77,2067.92,2057.46,2059.74,2063.95,2055.01,2037.05,2035.94,2049.8,2050.338,2041.750769,2024.030476,2009.414231,1954.0768,1
3/30/2016,2058.27,2072.21,2058.27,2063.95,2055.01,2037.05,2035.94,2036.71,2051.6,2045.732,2038.862308,2020.154762,2004.088462,1950.5086,-1
3/29/2016,2035.75,2055.91,2028.31,2055.01,2037.05,2035.94,2036.71,2049.8,2049.58,2042.902,2033.140769,2013.882381,1999.532692,1946.8362,1
3/28/2016,2037.89,2042.67,2031.96,2037.05,2035.94,2036.71,2049.8,2051.6,2040.59,2042.22,2028.083077,2008.789048,1994.254615,1944.1728,1
3/24/2016,2032.48,2036.04,2022.49,2035.94,2036.71,2049.8,2051.6,2049.58,2027.22,2044.726,2023.637692,2004.724762,1989.669231,1941.2374,1
3/23/2016,2048.55,2048.55,2034.86,2036.71,2049.8,2051.6,2049.58,2040.59,2015.93,2045.656,2021.008462,1999.670476,1985.472308,1939.2922,-1
3/22/2016,2048.64,2056.6,2040.57,2049.8,2051.6,2049.58,2040.59,2027.22,2019.64,2043.758,2018.183846,1994.173333,1980.044231,1937.0314,-1
3/21/2016,2047.88,2053.91,2043.14,2051.6,2049.58,2040.59,2027.22,2015.93,2022.19,2036.984,2013.845385,1989.206667,1972.928077,1934.476,-1
3/18/2016,2041.16,2052.36,2041.16,2049.58,2040.59,2027.22,2015.93,2019.64,1989.57,2030.592,2008.833846,1982.834286,1964.369615,1932.3058,1
3/17/2016,2026.9,2046.24,2022.16,2040.59,2027.22,2015.93,2019.64,2022.19,1989.26,2025.114,2003.354615,1976.560476,1956.765,1931.1194,1
3/16/2016,2014.24,2032.02,2010.04,2027.22,2015.93,2019.64,2022.19,1989.57,1979.26,2014.91,1995.019231,1971.142857,1949.519615,1930.6418,1
3/15/2016,2015.27,2015.94,2005.23,2015.93,2019.64,2022.19,1989.57,1989.26,2001.76,2007.318,1988.929231,1964.874286,1942.835769,1930.3506,1
3/14/2016,2019.27,2024.57,2012.05,2019.64,2022.19,1989.57,1989.26,1979.26,1999.99,1999.984,1983.988462,1957.676667,1937.609615,1930.9108,-1
3/11/2016,1994.71,2022.37,1994.71,2022.19,1989.57,1989.26,1979.26,2001.76,1993.4,1996.408,1977.077692,1948.602381,1933.602308,1931.7852,-1
3/10/2016,1990.97,2005.08,1969.25,1989.57,1989.26,1979.26,2001.76,1999.99,1986.45,1991.968,1969.314615,1940.491429,1929.384615,1932.9086,1
3/9/2016,1981.44,1992.69,1979.84,1989.26,1979.26,2001.76,1999.99,1993.4,1978.35,1992.734,1965.924615,1933.950476,1926.056154,1934.2472,1
3/8/2016,1996.88,1996.88,1977.43,1979.26,2001.76,1999.99,1993.4,1986.45,1932.23,1992.172,1960.426154,1927.482857,1924.137692,1935.6818,1
3/7/2016,1996.11,2006.12,1989.38,2001.76,1999.99,1993.4,1986.45,1978.35,1948.05,1991.99,1955.700769,1922.758571,1922.636923,1937.3164,-1
